type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
ACTIVE_ZONE_MINUTES_GOAL,DAILY,22.0,null,NEW,false,null,null,2020-09-12T06:05:04.844+00:00,null
ACTIVE_ZONE_MINUTES_GOAL,WEEKLY,150.0,null,NEW,false,null,null,2020-09-12T06:05:04.851+00:00,null
CALORIES_BURNED_GOAL,DAILY,2500.0,165.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-14,2022-10-15,2014-11-29T17:29:28.000+00:00,2015-02-07T17:59:29.000+00:00
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-14,2022-10-15,2014-11-29T17:29:28.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,7.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-14,2022-10-15,2014-11-29T17:29:28.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,1.86411,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-14,2022-10-15,2014-11-29T17:29:28.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,60.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-14,2022-10-15,2014-11-29T17:29:28.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,8065.0,INPROGRESS_SO_FAR_MISSED,true,2022-10-09,2022-10-16,2014-11-29T17:29:28.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,3.27016,INPROGRESS_SO_FAR_MISSED,false,2022-10-09,2022-10-16,2014-11-29T17:29:28.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,9.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-09,2022-10-16,2014-11-29T17:29:28.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,19782.0,8229.0,INPROGRESS_SO_FAR_MISSED,false,2022-10-09,2022-10-16,2014-11-29T17:29:28.000+00:00,null
WATER_GOAL,DAILY,2000.0,1000.0,INPROGRESS_SO_FAR_MISSED,false,2019-04-25,2019-04-26,2014-11-29T17:29:28.000+00:00,2015-02-17T08:57:36.000+00:00
WEIGHT_GOAL,MONTHLY,110.23,132.27,INPROGRESS_SO_FAR_MISSED,false,2020-09-01,2020-10-01,2020-09-17T03:59:59.000+00:00,2020-09-16T05:26:48.000+00:00
BODY_FAT_GOAL,DAILY,15.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2019-04-16,2019-04-17,2019-04-17T00:17:32.000+00:00,2019-04-17T00:17:39.000+00:00
CALORIES_CONSUMED_GOAL,DAILY,2000.0,0.0,INPROGRESS_SO_FAR_ACHIEVED,false,2019-04-16,2019-04-17,2019-04-17T00:16:27.000+00:00,null