type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
SKIN,2021-05-02T02:16,2021-05-02T07:28:30,313,34.00594249201278,-87.00256297679516,1105.3498303978704,0.3732942825226614,1.356738311691886
SKIN,2021-05-03T01:33,2021-05-03T07:50:30,362,34.083798342541435,-70.94646694215044,432.40647540497594,0.3660764358022951,1.3469318333625513
SKIN,2021-05-04T02:56,2021-05-04T09:59,423,33.7089243498818,-241.47323347107522,952.9570836478379,0.37401585871275794,1.370960492814183
SKIN,2021-05-05T05:54,2021-05-05T10:45,291,33.32512027491409,-224.47581567796624,219.90224286692683,0.39616143116144636,1.364213522487017
SKIN,2021-05-06T04:14:30,2021-05-06T08:09:30,235,34.72810638297872,148.42401483050799,168.60353629104793,0.41196566995927386,1.364423708497618
SKIN,2021-05-07T03:50:30,2021-05-07T11:11:30,426,34.03018779342723,-28.255317796609233,352.2508764876984,0.4108902673628081,1.35145475144415
SKIN,2021-05-08T03:15,2021-05-08T10:31:30,437,34.5462242562929,196.52301906779758,333.59722408128437,0.4186763646748177,1.3288218201998205
SKIN,2021-05-08T22:37:30,2021-05-09T03:22,284,32.91371478873239,-332.3037292817662,1150.6773343997775,0.4623171066091755,1.3577089485622424
SKIN,2021-05-10T02:44,2021-05-10T07:36,273,33.7228021978022,-83.91626760563304,263.7141332193278,0.4564850572807814,1.3570122843803758
SKIN,2021-05-12T03:48,2021-05-12T09:13:30,326,33.793634969325154,-73.16423652672165,241.8537298514275,0.4555309765353031,1.345504684753477
SKIN,2021-05-14T04:07:30,2021-05-14T09:31:30,308,34.20462662337662,61.19471246006469,634.083800350898,0.4549719720139516,1.3573345643906347
SKIN,2021-05-15T02:45,2021-05-15T10:51:30,485,34.09429896907217,42.852891373804596,390.0109421631787,0.4498601067379324,1.3480666062345192
SKIN,2021-05-16T03:02,2021-05-16T08:13:30,312,33.92451923076923,-25.40405750798527,1372.0751590956934,0.4498772725442941,1.3904262442457982
SKIN,2021-05-18T01:30:30,2021-05-18T05:45:30,255,34.6176862745098,157.1707938068339,223.09755519940518,0.46827629316775793,1.4066823107139796
SKIN,2021-05-19T05:28:30,2021-05-19T11:55,371,33.71673854447439,-90.47949679487101,279.5193474130938,0.4633434083035297,1.4052359001554557
SKIN,2021-05-20T01:38,2021-05-20T06:57,319,34.5332131661442,171.14197435897222,349.22718224918935,0.46941158938492494,1.3971868409919668
SKIN,2021-05-21T02:23:30,2021-05-21T07:38,314,34.08915605095542,26.129057507989273,757.491043220507,0.4701328330180767,1.4115102324365048
SKIN,2021-05-22T04:44,2021-05-22T09:22,278,35.35278776978417,367.6827934272296,559.3425683722598,0.5459218140041652,1.414039479692137
SKIN,2021-05-23T04:15:30,2021-05-23T09:46,330,34.62587878787879,196.57802816901494,242.1059562388109,0.5540628691517575,1.3992444402592776
SKIN,2021-05-24T02:13:30,2021-05-24T10:46:30,513,33.92164717348928,-55.68133802817101,211.12892008689232,0.5229246740138427,1.3751495884851797
SKIN,2021-05-25T03:55,2021-05-25T09:27:30,333,33.47686186186186,-184.25753521126717,571.3960679643787,0.5136680796767289,1.2095208029426525
SKIN,2021-05-26T01:26,2021-05-26T06:34,308,34.60676948051948,169.33113506082373,187.01982459728606,0.514433625314069,1.198240828612698
SKIN,2021-05-27T03:10:30,2021-05-27T09:39:30,389,33.817699228791774,-93.08530344590872,670.8222554437816,0.5159096443693371,1.2084579206998731
SKIN,2021-05-28T09:17,2021-05-28T13:20:30,244,30.61737704918033,-829.7678948236817,2894.9759216398816,0.844933016037397,1.329685501862608
SKIN,2021-05-30T03:16,2021-05-30T11:15:30,459,33.99423747276688,-5.372603833866378,289.74071954679675,0.8596483037817225,1.311122485581537
SKIN,2021-05-31T02:33,2021-05-31T07:39,306,33.89900326797385,-30.932534611289157,332.48728928912897,0.8423147409267352,1.3026617399711156
SKIN,2021-06-01T01:46,2021-06-01T09:31:30,466,34.058530042918456,21.58391297677008,706.5769790222403,0.8425510752974118,1.2753891177383891